AVG	STD
194.5	137.3650853
10.11316492	5.382835348
1.734737902	0.632502978
	
	
144.5	81.39239659
13.78495174	6.477099358
2.092508978	0.815538572
	
	
344.5	181.3445156
4.543447752	6.028474859
2.161249714	0.98865927
	
	
444	103.1934537
1.643282838	0.575787322
1.680059371	0.530080323
	
	
487.5	99.00196407
1.622743964	0.784524806
1.911406969	0.753656481
	
	
494.5	93.70313644
2.016478514	1.021816327
1.927713492	0.469343186
	
	
547.5	115.4279477
1.807872441	0.809516735
1.983037047	0.566900701
	
	
590	89.25618559
1.723209248	0.820965506
2.092301524	0.464405056
